longitude;latitude;Road name;Culvert material;Overall condition;Height (in.);Width (in.);Length (ft.);Culvert type
-72.75856233;42.755885257;PENNEL HILL RD;Plastic Smooth;Critical;18;18;40;Round
-72.518367632;43.41728038;TARBELL HILL RD;Plastic Corrugated;Good;18;18;98;Round
-72.00814764;44.940883983;MEAD HILL RD;Steel Corrugated;Fair;12;12;40;Round
-73.207263;44.317794;HINESBURG RD;Steel Corrugated;Fair;15;15;16;Round
-72.580198957;44.205304664;PAINE TPKE S;Concrete Sectional;Good;18;18;45;Round
-72.709325084;44.078623138;BEAVER MEADOW RD;Plastic Corrugated;Good;15;15;30;Round
-72.695787491;44.434100619;N HILL RD;Plastic Corrugated;Excellent;18;18;15;Round
-72.484344138;44.690406081;E HILL RD;Steel Corrugated;Critical;24;24;36;Round
-73.098631;44.236147;MOUNTAIN RD;Steel Corrugated;Critical;15;15;60;Round
-72.478992926;44.228328382;SPRUCE MOUNTAIN VIEW DR;Steel Corrugated;Good;15;15;40;Round
-72.998638;44.349203;SHERMAN HOLLOW RD;Steel Corrugated;Good;24;24;34;Round
-73.13170288;44.930947614;JONERGIN DR;Concrete Poured;Fair;24;24;40;Round
-72.329673083;44.121600215;RIDDEL POND RD;Steel Corrugated;Closed;12;12;30;Round
-72.725740661;43.355019486;WRIGHT RD;Steel Corrugated;Poor;24;24;26;Round
-73.08145031;43.259722113;LOWER HOLLOW RD;Plastic Corrugated;Excellent;18;18;36;Round
-72.090567726;44.441748588;JAMIESON RD;Steel Corrugated;Excellent;15;15;30;Round
-71.92953788;44.410929374;CROSS RD;Steel Corrugated;Good;15;15;60;Round
-72.490046652;44.39323835;RANDOM RD;Mixed;Fair;12;12;40;Round
-72.71466493;42.977782805;BAKER BROOK RD;Steel Corrugated;Fair;15;15;15;Round
-72.411604411;43.401597128;TENNEY HILL RD;Plastic Corrugated;Good;18;18;42;Drop Inlet
-72.603973;43.916999;EAST BETHEL RD;Steel Corrugated;Good;24;24;40;Round
-73.153851852;43.99736497;MIDDLE RD N;Metal - undefined type;Fair;24;24;20;Round
-73.182062038;44.973120271;CHURCH RD;Unknown;Closed;0;0;0;Unknown
-72.233701386;43.809575142;ACADEMY RD;Steel Corrugated;Fair;15;1550;1;Round
-72.870585801;43.993559346;W HILL RD;Steel Corrugated;Fair;15;15;28;Round
-72.520860306;43.627782106;RIVER ST;Steel Corrugated;Good;12;12;12;Drop Inlet
-72.162988738;44.74967676;PAGEANT PK RD;Steel Corrugated;Good;132;132;35;Round
-72.823721415;43.696986931;GREEN MOUNTAIN NATIONAL DR;Steel Corrugated;Good;48;72;63;Ellipse/Squashed
-72.894822213;43.015315229;PIKE HOLLOW RD;Steel Corrugated;Good;15;15;20;Round
-72.71600779;43.755844679;RANNEY RD;Steel Corrugated;Excellent;18;18;40;Round
-72.567801153;43.365264908;BALTIMORE RD;Concrete Sectional;Good;36;36;40;Round
-72.643886153;43.243201758;POPPLE DUNGEON RD;Plastic Corrugated;Poor;18;18;28;Round
-72.498333;43.49025;SHEDDSVILLE RD;Concrete Sectional;Good;24;24;34;Round
-72.492820092;44.294124985;PUTNAM RD;Steel Corrugated;Fair;24;24;35;Round
-72.275152848;44.366732837;ENNIS RD;Plastic Corrugated;Good;15;15;20;Round
-72.749618249;44.069918066;OXBOW RD;Plastic Corrugated;Good;15;15;40;Round
-72.798425772;42.822597388;HATCH SCHOOL RD;Plastic Smooth;Good;15;15;36;Round
-72.399312857;43.878449497;WETMORE RD;Steel Corrugated;Good;24;24;96;Round
-73.369474;43.989423;BASIN HARBOR RD;Steel Corrugated;Good;12;12;25;Round
-72.532158394;43.349195068;BALTIMORE RD;Concrete Poured;Excellent;15;15;34;Box
-73.216703818;42.784960947;HIDDEN VALLEY RD;Plastic Smooth;Good;24;24;30;Round
-72.678247795;43.007522775;WISWALL HILL RD;Plastic Smooth;Good;18;18;30;Round
-72.201456493;44.855108194;RIVER RD;Steel Corrugated;Good;18;18;38;Round
-73.245871236;43.939744639;AUDET RD;Plastic Smooth;Excellent;30;30;34;Round
-72.455535362;43.099252808;BACK WESTMINSTER RD;Steel Corrugated;Good;15;15;38;Round
-72.081063767;44.77651895;SILVER LN;Steel Corrugated;Critical;15;15;22;Round
-72.744874;44.255186;MORETOWN COMMON RD;Plastic Corrugated;Good;18;18;40;Round
-72.600223351;43.394251391;CENTER RD;Steel Corrugated;Unknown;15;15;999;Round
-72.794438577;43.660567509;GEORGE ST;Steel Corrugated;Good;18;18;40;Round
-72.951129189;43.19069352;SIGNAL HILL RD;Plastic Smooth;Urgent;18;18;44;Round
-72.755150766;42.764324233;WOODARD HILL RD;Stone;Fair;15;15;30;Round
-72.824030293;43.025206011;BLACK PIECE RD;Steel Corrugated;Poor;18;18;20;Round
-71.613984219;44.637618789;NORTH RD;Steel Corrugated;Good;15;15;25;Round
-72.808346572;43.267562471;SUMMIT TRAIL RD;Steel Corrugated;Poor;24;24;62;Round
-72.602036771;42.934781243;EAST WEST RD;Steel Corrugated;Good;18;18;30;Round
-72.711680439;43.209175553;WHITE RD;Plastic Smooth;Good;18;18;60;Round
-72.377878035;43.815629432;KEYES RD;Steel Corrugated;Good;48;48;40;Round
-72.881143331;44.58124118;IRISH SETTLEMENT RD;Steel Corrugated;Fair;30;30;30;Round
-73.075117106;43.209771744;WIDEAWAKE RD;Metal - undefined type;Good;18;18;29;Round
-72.724159352;43.304440652;N HILL RD;Plastic Corrugated;Good;15;15;40;Round
-73.208414648;44.412380098;BROOK LN;Steel Corrugated;Good;18;18;31;Round
-72.683858388;44.433557252;STOWE HOLLOW RD;Steel Corrugated;Good;18;18;55;Round
-73.356820817;44.161615567;ARNOLD BAY RD;Plastic Corrugated;Excellent;15;15;40;Round
-72.960008;43.690107;SHADOW LN;Steel Corrugated;Fair;15;15;34;Round
-72.668250322;43.857565539;SUGAR HILL RD;Plastic Smooth;Good;24;24;30;Round
-73.122551143;44.47448788;RIVER COVE RD;Concrete Poured;Good;18;18;20;Round
-73.20499;43.609571;PATRICIA LN;Steel Corrugated;Fair;15;15;40;Round
-73.169122338;44.427401823;DORSET HTS;Plastic Smooth;Good;16;16;35;Round
-72.532123586;44.155929139;SNOWBRIDGE RD;Plastic Corrugated;Closed;2;12;45;Round
-72.622733;43.947435;HARVEY RD;Steel Corrugated;Good;60;60;70;Round
-72.120298497;44.418720179;PENNY LN;Steel Corrugated;Excellent;15;15;80;Round
-72.943858521;44.779579615;JUAIRE RD;Steel Corrugated;Good;108;108;50;Round
-71.639628816;44.561443004;FELLOWS RD;Steel Corrugated;Good;36;48;26;Round
-73.142796933;44.456969012;SHUNPIKE RD;Steel Corrugated;Good;12;12;30;Drop Inlet
-72.348769343;44.713129557;PAGE POND RD;Steel Corrugated;Critical;12;12;40;Round
-73.186822544;44.660265536;EVEREST RD;Steel Corrugated;Good;12;12;45;Round
-73.268727;44.345504;ORCHARD RD;Plastic Corrugated;Good;15;15;20;Round
-72.364759128;44.715651712;PAGE POND RD;Steel Corrugated;Good;18;18;40;Round
-72.248072031;44.370764247;MACK MOUNTAIN RD;Aluminum Corrugated;Fair;15;15;45;Round
-73.185823343;43.274254632;WATROUS RD;Plastic Smooth;Good;15;15;30;Round
-73.11771;43.507574;NORTH ST;Plastic Smooth;Critical;15;15;36;Round
-72.029820106;44.823626771;TOWN FARM RD;Steel Corrugated;Good;24;24;24;Round
-72.091862621;44.321986537;GOSS HILL RD;Steel Corrugated;Excellent;16;16;20;Round
-72.46017075;43.628263227;MORRILL RD;Plastic Corrugated;Good;18;18;20;Round
-73.085250409;44.290763275;GILMAN RD;Steel Corrugated;Fair;18;18;30;Round
-71.592068329;44.596221139;NORTH RD;Steel Corrugated;Good;12;12;32;Round
-72.905356216;43.871593358;BINGO RD;Concrete Sectional;Fair;15;15;30;Round
-73.130498529;44.416930805;CHARLES RD;Plastic Corrugated;Good;15;15;15;Round
-73.251897386;43.100023728;RIVER RD;"Aluminum, wrought iron, or cast iron";Good;36;36;30;Round
-73.36561241;43.729593628;N LAKE RD;Plastic Corrugated;Excellent;15;15;60;Round
-71.972992024;44.546608261;DEER RUN LN;Plastic Smooth;Excellent;15;15;30;Round
-71.958632983;44.959474881;TRUCOTT RD;Steel Corrugated;Good;36;36;27;Round
-72.750603282;43.01720773;TOWNSHEND DAM RD;Plastic Smooth;Excellent;36;36;40;Round
-72.796308183;43.292636835;LAWRENCE HILL RD;Plastic Smooth;Excellent;18;18;95;Drop Inlet
-73.016885811;44.966400563;GORE RD;Other;Closed;15;15;50;Other
-72.497606;43.928811;WHITNEY HILL RD;Plastic Corrugated;Good;18;18;35;Round
-72.582037214;42.994783787;PUTNEY MOUNTAIN RD;Steel Corrugated;Excellent;72;72;60;Round
-72.518979;43.515222;RUSH MEADOW RD;Steel Corrugated;Good;12;12;28;Round
-72.055622402;44.42377444;LIBRARY RD;Steel Corrugated;Excellent;12;12;31;Round
-72.488151513;44.602311967;SAND HILL RD;Plastic Corrugated;Excellent;15;15;31;Round
-73.035865058;44.906667972;HEALD RD;Steel Corrugated;Critical;120;120;55;Round
-72.46203782;43.780320865;RIVER RD;Plastic Corrugated;Good;18;18;50;Round
-72.176448016;44.749056774;HIGH ST;Concrete Sectional;Good;0;0;0;Drop Inlet
-72.521656;43.91334;GOULD RD;Steel Corrugated;Good;15;15;30;Round
-73.265667219;43.594814396;N PARK PL;Concrete Poured;Good;15;15;115;Drop Inlet
-72.987555251;43.316118967;S END RD;Plastic Corrugated;Good;18;18;30;Round
-72.622878925;43.084116687;JAY RD;Steel Corrugated;Good;15;15;25;Round
-73.0077455;44.538955473;HANLEY LN;"Pipe, Plastic";Fair;18;18;73;Round
-72.945987824;43.633351651;MEADOW WAY;Steel Corrugated;Good;12;12;40;Round
-73.260574726;44.016882616;MOUNTAIN RD;Steel Corrugated;Good;18;18;30;Round
-73.107257187;44.385094785;WILLOW BROOK LN;Plastic Smooth;Good;15;15;19;Round
-72.724838;44.005619;THRESHER RD;Steel Corrugated;Good;36;36;30;Round
-72.407852323;43.845577158;CARPENTER HILL RD;Steel Corrugated;Fair;36;36;30;Round
-72.140429037;44.395563544;PEACHAM RD;Steel Corrugated;Excellent;18;18;30;Round
-73.00242963;43.601292283;CLEMENT RD;Steel Corrugated;Good;15;15;35;Round
-73.185172176;43.277411132;ROUTE 315;Other;Good;24;24;21;Other
-72.019082885;44.658491487;STATION RD;Steel Corrugated;Good;96;96;60;Round
-72.393217624;44.899782772;LOOP RD;Steel Corrugated;Good;12;12;25;Round
-72.936869148;44.54204016;BLAKEY RD;Steel Corrugated;Poor;12;12;30;Round
-73.117474307;43.093088257;FLYNN HOLLOW RD;Steel Corrugated;Good;18;18;20;Round
-72.182438417;43.885050044;BRAGG HILL RD;Steel Corrugated;Unknown;18;18;30;Round
-72.202409037;44.916979904;GLEN RD;Steel Corrugated;Fair;24;34;32;Ellipse/Squashed
-73.257097663;43.832496109;FISHER RD;Steel Corrugated;Excellent;18;18;32;Round
-72.183476481;44.953862192;SHATTUCK HILL RD;Steel Corrugated;Good;12;12;75;Round
-73.007566844;43.186066935;NEW IRELAND RD;Metal - undefined type;Good;18;18;39;Round
-72.855596898;42.880058621;STOWE HILL RD;Plastic Smooth;Excellent;18;18;42;Round
-71.989709448;44.511036345;ABENAKI LOOP;Steel Corrugated;Good;15;15;20;Round
-73.37009843;43.80995993;MOUNT INDEPENDENCE RD;Steel Corrugated;Poor;18;18;41;Round
-72.510803101;44.094501808;BAPTIST ST;Plastic Corrugated;Excellent;60;60;40;Round
-72.986399062;44.512431691;CILLEY HILL RD;Steel Corrugated;Fair;12;12;40;Round
-72.582863577;43.414635874;OLD COUNTY RD;Plastic Corrugated;Good;18;18;40;Round
-71.971212364;44.421686402;HIGGINS HILL RD;Plastic Smooth;Good;15;15;51;Round
-72.896610435;44.428829913;NOTCH RD;Steel Corrugated;Good;18;18;35;Round
-72.795839503;44.871878227;TYLER BRANCH RD;Steel Corrugated;Fair;15;15;31;Round
-72.835280502;43.07795514;W JAMAICA RD;Plastic Smooth;Excellent;18;18;30;Round
-72.989325;44.422076;JOAN AVE;Steel Corrugated;Critical;18;18;20;Round
-73.026671986;43.507999882;W TINMOUTH RD;Unknown;Poor;0;0;24;Round
-72.651714316;43.263105119;SHADY GROVE LN;Steel Corrugated;Good;15;15;40;Round
-72.589968;44.32387;CULVER HILL RD;Aluminum Corrugated;Good;15;15;35;Round
-72.833316054;44.759410146;WHITNEY RD;"Pipe, Plastic";Critical;24;24;35;Round
-72.31432179;43.923863565;S VERSHIRE RD;Steel Corrugated;Poor;24;24;30;Round
-71.645604508;44.663345724;MAIDSTONE LAKE RD;Steel Corrugated;Poor;24;24;30;Round
-73.042598916;44.89361784;COOK RD;Steel Corrugated;Good;15;15;30;Round
-72.811067689;44.853548135;CHESTER A ARTHUR RD;Steel Corrugated;Fair;18;18;59;Round
-72.419902977;43.642310326;LUCE MEADOW RD;"Pipe, Plastic";Good;18;18;40;Round
-72.288111162;44.737238964;SINON RD;Steel Corrugated;Excellent;18;18;28;Round
-72.803330915;43.664105309;ANTHONY WAY;Steel Corrugated;Poor;15;15;20;Round
-72.961607903;44.806690234;CHURCH RD;Steel Corrugated;Excellent;24;24;38;Round
-72.201282743;44.445792631;COBB RD;Steel Corrugated;Urgent;15;15;34;Round
-73.178251976;42.821728304;MAPLE GROVE RD;Steel Corrugated;Fair;18;18;40;Round
-72.51836918;43.62209031;CROSS ST;Steel Corrugated;Good;15;15;15;Drop Inlet
-72.942901068;44.425150673;SNIPE IRELAND RD;Plastic Corrugated;Good;18;18;40;Round
-73.204374406;42.775703712;LADD RD;Steel Corrugated;Fair;18;18;40;Round
-73.107031;43.900242;MAPLE ST;Plastic Corrugated;Excellent;36;36;63;Round
-72.261424541;44.708315946;TOWN HWY 32;Steel Corrugated;Good;18;18;30;Round
-73.086813;43.802873;W SEMINARY ST;Steel Corrugated;Good;18;18;0;Drop Inlet
-72.491807172;44.176941072;QUARRY HILL RD;Plastic Corrugated;Good;18;18;78;Round
-73.003590994;44.380089701;HUNTINGTON RD;Steel Corrugated;Critical;12;12;20;Round
-72.203483102;44.076115897;BOWEN RD;Steel Corrugated;Fair;72;72;40;Ellipse/Squashed
-73.243616061;42.759378505;VALLEY VIEW DR;Steel Corrugated;Good;18;18;38;Round
-72.455935;43.894094;HOYT HILL RD;Steel Corrugated;Good;24;24;25;Round
-71.854846291;44.490195976;VICTORY RD;Steel Corrugated;Poor;15;15;40;Round
-72.185447198;44.74893595;ELM ST;Concrete Sectional;Poor;0;0;0;Drop Inlet
-72.588539704;43.123097742;REED RD;Plastic Smooth;Good;18;18;40;Round
-72.759684606;44.032152739;HANDLY RD;Steel Corrugated;Fair;12;12;20;Round
-72.182446531;44.70392233;DEXTER MOUNTAIN RD;Steel Corrugated;Good;24;24;20;Round
-72.941413986;43.618485734;E MOUNTAINVIEW DR;Steel Corrugated;Fair;15;15;32;Round
-73.019537197;44.53065911;W SLEEPY HOLLOW;"Pipe, Plastic";Poor;18;18;30;Round
-73.251400208;42.757641473;CROW HILL RD;Plastic Corrugated;Excellent;18;18;40;Round
-72.401286297;43.878975713;WETMORE RD;Steel Corrugated;Good;48;48;24;Round
-72.281487773;44.000154619;JACKSON PL;Steel Corrugated;Unknown;12;12;20;Round
-72.111532193;45.004419702;DAY ST;"Pipe, Plastic";Good;12;12;100;Drop Inlet
-72.867915456;43.245286;ANDERSON RD;Plastic Corrugated;Excellent;24;24;40;Round
-72.886116414;44.543918977;IRISH SETTLEMENT RD;"Pipe, Plastic";Good;18;18;40;Round
-72.805786457;44.471971463;NEBRASKA VALLEY RD;Plastic Corrugated;Good;15;15;31;Round
-72.817235987;44.173093389;PALMER LN;Aluminum Corrugated;Closed;15;15;40;Round
-72.436180627;44.24632031;MIDDLE RD;Other;Closed;16;24;30;Other
-72.092606314;44.838328001;CHILAFOUX RD;Steel Corrugated;Good;12;12;30;Round
-72.966933767;44.637570823;CAMBRIDGE RD;Plastic Corrugated;Poor;18;18;34;Round
-72.492357512;43.674876231;SESSIONS MDW;Steel Corrugated;Poor;18;18;20;Round
-72.046887244;44.153116123;CREAMERY ST;Concrete Sectional;Fair;12;12;0;Drop Inlet
-72.648715;43.189899;CABELL RD;Gray Plastic;Excellent;30;30;36;Round
-72.76421587;44.807597304;WITCHCAT RD;Steel Corrugated;Fair;12;12;40;Round
-72.839495811;44.63797536;UPPER PLEASANT VALLEY RD;Steel Corrugated;Poor;18;18;80;Round
-72.640771792;44.486484151;GLENBROOK RD;Steel Corrugated;Good;18;18;50;Round
-72.11861895;44.588303211;CHESLEY HILL RD;Steel Corrugated;Fair;15;15;35;Round
-72.748808671;44.069709098;OXBOW RD;Plastic Corrugated;Good;18;18;30;Round
-72.36225096;43.678451337;JERICHO RD;"Pipe, Plastic";Fair;15;15;40;Round
-71.639901383;44.65934973;MAIDSTONE LAKE RD;Steel Corrugated;Fair;18;18;20;Round
-72.904584717;43.114067915;STRATTON MOUNTAIN ACCESS RD;Unknown;Unknown;0;0;0;Round
-72.480661524;43.034568937;DAIGEL RD;Plastic Corrugated;Excellent;18;18;30;Round
-73.214458419;44.260464156;CHAMPLIN HILL RD;Steel Corrugated;Poor;15;15;30;Round
-72.730014509;43.29729963;N HILL RD;Steel Corrugated;Good;18;18;39;Round
-72.618389497;43.64844051;GRANDMA AMS HILL RD;Plastic Smooth;Good;18;18;40;Round
-72.096888992;44.627186772;BERRY HILL RD;Steel Corrugated;Fair;12;12;20;Round
-72.156649791;44.744997559;PAGEANT PK RD;Plastic Corrugated;Excellent;18;18;36;Round
-72.742799;43.991175;THRESHER RD;Plastic Corrugated;Good;18;18;34;Round
-72.776667212;43.672329127;RIVER RD;Plastic Smooth;Good;18;18;45;Round
-73.183479;43.427129;SAW MILL HILL RD;Plastic Smooth;Good;18;18;40;Round
-72.621228174;43.107554913;ROUTE 35;Steel Corrugated;Fair;15;15;60;Round
-73.288796;43.939205;DOOLITTLE RD;Plastic Corrugated;Critical;15;15;31;Round
-72.130844413;44.800499058;KITTREDGE RD;Steel Corrugated;Good;24;24;48;Round
-72.16698;44.324623356;BAYLEY HAZEN RD;Steel Corrugated;Good;12;12;30;Round
-73.220271;44.334526;MOUNT PHILO RD;Steel Corrugated;Fair;15;15;30;Round
-73.290038642;44.861318886;SAND BEACH RD;Steel Corrugated;Good;17;17;40;Round
-73.015160051;43.865056072;CARLISLE HILL RD;Steel Corrugated;Good;18;18;41;Round
-72.839076296;44.114993362;DUMP RD;Steel Corrugated;Closed;18;18;75;Round
-72.8299936;43.976883102;BUTZ RD;Plastic Corrugated;Good;18;18;30;Round
-73.096449001;44.345669733;RICHMOND RD;Steel Corrugated;Fair;12;12;25;Round
-72.230856317;43.80187125;CRANBERRY HILL RD;Steel Corrugated;Excellent;84;84;40;Round
-71.988521184;44.409739696;DANIELS FARM RD;Steel Corrugated;Good;0;0;0;Drop Inlet
-72.51326686;44.83875108;ROUTE 58;Steel Corrugated;Good;30;30;36;Round
-73.11822124;44.510056278;OLD COLCHESTER RD;Concrete Sectional;Good;18;18;90;Round
-72.865590616;44.56318051;PLEASANT VALLEY RD;"Pipe, Plastic";Good;30;30;30;Round
-72.527601482;43.992309983;HALFWAY BROOK RD;"Pipe, Metal";Poor;16;16;30;Unknown
-73.138317;43.440462;PESSLER LN;Steel Corrugated;Good;15;15;30;Round
-72.750054;44.233725;GOVE RD;Unknown;Unknown;18;18;20;Round
-73.056331;43.710188;W CREEK RD;Steel Corrugated;Good;18;18;61;Round
-72.272368267;44.435971464;BAYLEY HAZEN RD;Plastic Corrugated;Good;15;15;20;Round
-72.252113348;44.4189029;CABOT PLAINS RD;Plastic Corrugated;Good;15;15;40;Round
-72.86923518;42.835487432;BOYD HILL RD;Tank;Good;72;72;30;Round
-72.017428087;44.907068559;MORGAN-CHARLESTON RD;Steel Corrugated;Good;15;15;36;Round
-72.425406;44.462914;COUNTY RD;Steel Corrugated;Fair;30;40;33;Ellipse/Squashed
-72.486050905;43.537897478;JENNEVILLE RD;Steel Corrugated;Good;15;15;40;Round
-72.549477121;44.115268385;PLEASANT ST;Steel Corrugated;Fair;18;18;40;Round
-72.497930742;43.001543537;LOWER CASSIDY RD;Plastic Smooth;Excellent;24;24;40;Round
-73.016106487;43.599898533;FLORY HTS;Plastic Corrugated;Good;12;12;100;Round
-72.515999736;44.154504813;DEERFIELD AVE;Plastic Smooth;Fair;12;12;40;Round
-72.21338732;44.075571447;ORDWAY RD;Steel Corrugated;Fair;16;16;25;Round
-72.111140975;44.868969191;WHEELER RD;Steel Corrugated;Critical;12;12;40;Round
-72.454678797;44.031497521;WASHINGTON TPKE;Plastic Corrugated;Closed;18;18;40;Round
-72.864434042;44.200602731;STAGECOACH RD;Metal - undefined type;Good;24;24;40;Round
-72.671066323;43.619213399;DAILEY HOLLOW RD;Plastic Smooth;Good;18;18;30;Round
-72.66064957;44.587511264;PATCH RD;Steel Corrugated;Fair;16;16;45;Round
-72.763047437;42.75082078;PENNEL HILL RD;Plastic Smooth;Critical;18;18;40;Round
-72.890333223;43.031738565;STRATTON ARLINGTON RD;Steel Corrugated;Poor;15;15;40;Round
-72.260178126;44.25480535;SAWMILL RD;Steel Corrugated;Good;6;6;20;Round
-72.848270954;43.199491491;LIVERMORE MILLS RD;Plastic Smooth;Excellent;15;15;30;Round
-73.017324208;44.544074421;CATELLA RD;Steel Corrugated;Fair;30;30;20;Round
-72.295645239;43.824972786;GOVE HILL RD;Steel Corrugated;Fair;24;24;40;Round
-72.464600175;43.571357197;WEED RD;Steel Corrugated;Good;18;18;30;Round
-72.523504384;43.98968091;PARKER DR;"Pipe, Metal";Poor;12;12;30;Unknown
-72.922206348;43.860532265;W HILL RD;Steel Corrugated;Fair;18;18;32;Round
-73.004888759;44.760098265;WEST RD;Steel Corrugated;Good;15;15;40;Round
-73.285096321;43.83985486;N ORWELL RD;Steel Corrugated;Fair;18;18;47;Round
-72.863824;43.452301;ROGER HILL RD;Steel Corrugated;Fair;18;18;32;Round
-72.220959659;44.118657712;LIME KILN RD;Plastic Corrugated;Good;18;18;35;Round
-72.260927933;44.707711184;PHILLIPS RD;Plastic Smooth;Good;12;12;42;Round
-73.01417441;44.752756374;CARROLL HILL RD;Plastic Corrugated;Good;15;15;25;Round
-72.074370189;44.19606073;LONGMOORE DR;Steel Corrugated;Good;12;12;37;Round
-71.770812786;44.457682924;OREGON RD;"Pipe, Plastic";Good;15;15;60;Round
-71.862916387;44.602587437;VICTORY RD;Steel Corrugated;Fair;24;24;32;Round
-72.349603996;43.746085868;BEAVER MEADOW RD;Steel Corrugated;Fair;18;18;40;Round
-72.981329433;43.538274569;CREEK RD;Plastic Corrugated;Good;12;12;79;Round
-72.565082;43.974552;NORTH RANDOLPH RD;Plastic Corrugated;Good;18;18;60;Round
-72.070377482;44.326200073;BARNET CENTER RD;Steel Corrugated;Excellent;18;18;30;Round
-72.575586085;44.099956681;WEIR RD;Steel Corrugated;Fair;15;15;50;Round
-72.614629563;43.817136305;GILMAN RD;Steel Corrugated;Poor;12;12;30;Round
-72.659939;43.744688;MOUNT HUNGER RD;Plastic Smooth;Excellent;18;18;40;Round
-73.24259265;44.538135473;MEADOW DR;"Pipe, Plastic";Good;15;15;121;Round
-72.860138982;44.83611874;CHESTER A ARTHUR RD;"Pipe, Plastic";Good;12;12;30;Round
-72.01723752;44.554092188;PUDDING HILL RD;Steel Corrugated;Good;15;15;48;Round
-72.562319368;43.592357223;FLETCHER HILL RD;Plastic Corrugated;Good;18;18;40;Round
-72.192378197;44.620661688;QUARRY RD;Steel Corrugated;Fair;12;12;20;Round
-71.541946736;44.978583739;KEMP HILL RD;Plastic Smooth;Excellent;15;15;40;Round
-72.659221684;44.135912839;ALPINE DR;Other;Fair;15;15;28;Other
-72.747790119;44.965085521;KING RD;Steel Corrugated;Good;15;15;35;Round
-72.664595244;43.571325443;HALE HOLLOW RD;Plastic Smooth;Fair;15;15;30;Round
-72.981643001;44.489859759;LEE RIVER RD;Plastic Corrugated;Fair;18;18;38;Round
-73.031398929;43.656087935;GROVE ST;Concrete Poured;Poor;10;10;21;Drop Inlet
-72.991247616;43.589350571;DORR DR;Plastic Smooth;Good;18;18;200;Round
-72.269331652;44.469034063;SAWMILL RD;Steel Corrugated;Fair;18;18;30;Round
-73.090951639;44.515298882;LOST NATION RD;Steel Corrugated;Good;60;60;41;Round
-72.688302142;43.787618622;RIVER RD;Steel Corrugated;Excellent;18;18;40;Round
-73.245779126;44.39148121;HARBOR RD;Plastic Corrugated;Fair;18;18;24;Round
-72.555750259;42.942078691;MILLER RD;Steel Corrugated;Good;15;15;30;Round
-72.585716286;44.583473199;CENTER RD;Steel Corrugated;Fair;15;15;50;Round
-71.754595076;44.570823934;GRANBY RD;Steel Corrugated;Poor;12;12;22;Round
-72.4949;43.4613;WESTGATE RD;"Pipe, Plastic";Good;15;15;28;Round
-73.207406624;42.800747529;PUDDINGSTONE RD;Steel Corrugated;Good;18;18;32;Round
-72.894943419;43.219377308;SOUTH RD;Plastic Corrugated;Excellent;18;18;50;Round
-72.952764;44.343636;HAPPY HOLLOW RD;Plastic Corrugated;Good;30;30;40;Round
-72.651565032;43.479860039;TYSON RD;Steel Corrugated;Good;36;36;60;Round
-72.601385758;43.246843801;QUARRY RD;Steel Corrugated;Fair;18;18;35;Round
-72.699024659;44.527950832;STERLING VALLEY RD;Plastic Corrugated;Excellent;18;18;45;Round
-73.290438;43.861359;BROWN RD;Steel Corrugated;Poor;15;15;25;Round
-72.862195224;44.683732392;N CAMBRIDGE RD;Steel Corrugated;Critical;24;24;40;Round
-72.706788043;43.417439475;LOCUST HILL RD;Concrete Sectional;Good;12;12;44;Round
-72.699688621;43.785435819;WHITCOMB HILL RD;Steel Corrugated;Poor;18;18;30;Round
-73.105137245;44.38497889;WILLOW BROOK LN;Stone;Good;18;18;26;Round
-72.936497613;43.56014965;PROSPECT RDG;Steel Corrugated;Good;15;15;32;Round
-72.880561769;43.140516157;STRATTON GARDENS RD;Steel Corrugated;Good;15;15;40;Round
-72.127237819;44.086496707;HALLS LAKE RD;Steel Corrugated;Good;60;60;40;Round
-72.401966704;44.704223739;TOWN LINE RD;Concrete Sectional;Good;72;120;96;Box
-72.564663;43.962084;Edit in the 'Road name (other)' field;Steel Corrugated;Fair;15;15;20;Round
-72.208256252;44.503578312;COLES POND RD;Plastic Smooth;Fair;15;15;30;Round
-71.939705076;44.483479801;MUD HOLLOW RD;Steel Corrugated;Good;74;63;50;Ellipse/Squashed
-72.778089639;43.673920545;RIVER RD;Plastic Corrugated;Good;12;12;196;Round
-72.974033788;42.926337131;SOMERSET RD;Plastic Smooth;Excellent;18;18;35;Round
-73.067609;44.452851;MOUNTAIN VIEW RD;"Pipe, Plastic";Fair;12;12;30;Round
-72.585927266;42.954023876;EVANS RD;Steel Corrugated;Good;18;18;40;Round
-72.418803734;43.502163999;COUNTY RD;Steel Corrugated;Poor;18;18;40;Round
-72.986211776;44.501357008;SUNNY VIEW DR;Steel Corrugated;Poor;12;12;20;Round
-72.589197852;42.838813122;SUMMIT CIR;Plastic Smooth;Good;15;15;48;Round
-73.172692;44.322917;DORSET ST;Steel Corrugated;Excellent;15;15;30;Round
-72.170031614;44.765725835;TELFER HILL RD;Steel Corrugated;Fair;12;12;34;Round
-72.212628109;43.788924476;STEVENS RD;Steel Corrugated;Fair;15;15;30;Round
-72.947753931;42.771240981;SCHOOL ST;Steel Corrugated;Unknown;0;0;20;Drop Inlet
-72.619619526;43.156744817;TOWNSHEND RD;Steel Corrugated;Fair;15;15;35;Drop Inlet
-72.77554625;43.667278686;RIVER RD;Steel Corrugated;Good;18;18;60;Round
